Address,Last Update,Symbol,Active,Frozen,Decimals,Base LTV as Collateral,Liquidation Threshold,Reserve used as collateral,AToken Address,Available Liquidity,Current Average Stable Borrow Rate,Current Liquidity Rate,Optimal Utilisation Rate,Current Variable Borrow Rate,Base Variable Borrow Rate,Slope 1 Variable Rate,Slope 2 Variable Rate,Stable Borrow Rate Enabled,Current Stable Borrow Rate,Base Stable Borrow Rate,Slope 1 Stable Rate,Slope 2 Stable Rate,Interest Rate Strategy Address,Reserve Borrowing Enabled,Reserve Usage As Collateral,Liquidation Bonus,Liquidity Cumulative Index,Normalized Income,Total Borrows,Total Borrows Stable,Total Borrows Variable,Total Liquidity,Utilization Rate,Variable Borrows Cumulative Index
0x6B175474E89094C44Da98b954EedeAC495271d0F,2020/7/22 8:16:34,DAI,TRUE,FALSE,18,75,80,TRUE,0xfC1E690f61EFd961294b3e1Ce3313fBD8aa4f85d,"5,874,889",0.08,0.03,0.9,5.15%,1.00%,7.00%,60.00%,TRUE,7.06%,,6.00%,60.00%,0x247227714Bd121C528310E3bBff401ae34c9F9f6,105,TRUE,105,1.04,1.04,"6,721,098","1,813,961","4,907,137","12,595,987",53.36%,1.04
0x0000000000085d4780B73119b644AE5ecd22b376,2020/7/22 6:08:44,TUSD,TRUE,FALSE,18,1,80,TRUE,0x4DA9b813057D04BAef4e5800E36083717b4a0341,"44,843,677",3.69,0,0.9,1.66%,1.00%,4.00%,50.00%,FALSE,5.80%,,14.00%,60.00%,0x98C2568114Bf5d14cBe880912058fd5850a1C557,105,TRUE,105,1.02,1.02,"6,782,554",281,"6,782,272","51,626,231",13.14%,1.03
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,2020/7/22 8:23:38,USDC,TRUE,FALSE,6,75,80,TRUE,0x9bA00D6856a4eDF4665BcA2C2309936572473B7E,"89,925,186",0.05,0.01,0.9,2.60%,1.00%,7.00%,60.00%,TRUE,4.87%,,6.00%,60.00%,0x247227714Bd121C528310E3bBff401ae34c9F9f6,105,TRUE,105,1.02,1.02,"23,263,551","2,066,324","21,197,227","113,188,737",20.55%,1.03
0xdAC17F958D2ee523a2206206994597C13D831ec7,2020/7/22 8:20:17,USDT,TRUE,FALSE,6,0,70,FALSE,0x71fc860F7D3A592A4a98740e39dB31d25db65ae8,"106,680,929",0.05,0,0.9,2.10%,1.00%,7.00%,60.00%,TRUE,4.45%,,6.00%,60.00%,0x247227714Bd121C528310E3bBff401ae34c9F9f6,0,FALSE,0,1.03,1.03,"17,657,578","4,917,084","12,740,493","124,338,507",14.20%,1.04
0x57Ab1ec28D129707052df4dF418D58a2D46d5f51,2020/7/22 7:58:56,sUSD,TRUE,FALSE,18,0,0,FALSE,0x625aE63000f46200499120B906716420bd059240,"215,468",0,0.02,0.9,3.63%,1.00%,4.00%,50.00%,FALSE,12.72%,,14.00%,60.00%,0x4fD3103c7546a1093E89869C25CE2Ea4a10924F9,0,FALSE,0,1.03,1.03,"239,883",0,"239,883","455,351",52.68%,1.04
0x80fB784B7eD66730e8b1DBd9820aFD29931aab03,2020/7/22 8:25:17,LEND,TRUE,FALSE,18,50,65,TRUE,0x7D2D3688Df45Ce7C552E19c27e007673da9204B8,"442,435,371",0.03,0,0.9,0.03%,0.00%,7.00%,300.00%,TRUE,3.05%,,10.00%,300.00%,0x85B6c5E82886Be58e99c3aEAb8c74f566dc5811A,110,TRUE,110,1,1,"992,212","2,640","989,572","443,427,582",0.22%,1
0x0D8775F648430679A709E98d2b0Cb6250d2887EF,2020/7/22 4:36:17,BAT,TRUE,FALSE,18,60,65,TRUE,0xE1BA0FB44CCb0D11b80F92f4f8Ed94CA3fF51D00,"1,163,721",0.96,0.01,0.9,1.41%,0.00%,7.00%,300.00%,TRUE,5.02%,,10.00%,300.00%,0x85B6c5E82886Be58e99c3aEAb8c74f566dc5811A,110,TRUE,110,1,1,"116,107","8,686","107,421","1,279,827",9.07%,1.03
0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,2020/7/22 8:23:24,ETH,TRUE,FALSE,18,75,80,TRUE,0x3a3A65aAb0dd2A17E3F1947bA16138cd37d08c04,"46,223",0.06,0.01,0.9,2.47%,0.00%,8.00%,50.00%,TRUE,6.09%,,10.00%,60.00%,0xE5e3bAA98532F36A2D0db3277629C8e138d31034,105,TRUE,105,1,1,"15,192","1,247","13,945","61,414",24.74%,1.01
0x514910771AF9Ca656af840dff83E8264EcF986CA,2020/7/22 8:07:57,LINK,TRUE,FALSE,18,65,70,TRUE,0xA64BD6C70Cb9051F6A9ba1F163Fdc07E0DfB5F84,"7,588,917",0.03,0,0.9,2.54%,0.00%,7.00%,300.00%,TRUE,6.62%,,10.00%,300.00%,0x85B6c5E82886Be58e99c3aEAb8c74f566dc5811A,110,TRUE,110,1,1,"1,478,467",197,"1,478,271","9,067,384",16.31%,1
0xdd974D5C2e2928deA5F71b9825b8b646686BD200,2020/7/22 8:23:24,KNC,TRUE,FALSE,18,60,65,TRUE,0x9D91BE44C06d373a8a226E1f3b146956083803eB,"1,487,879",0.04,0,0.9,1.08%,0.00%,8.00%,50.00%,TRUE,4.35%,,10.00%,60.00%,0xaEd08797f7461CfAc56c9224fD8e149584359369,110,TRUE,110,1,1,"179,906",224,"179,682","1,667,785",10.79%,1
0x1985365e9f78359a9B6AD760e32412f4a445E862,2020/7/22 7:41:52,REP,TRUE,FALSE,18,35,65,TRUE,0x71010A9D003445aC60C4e6A7017c1E89A477B438,"8,405",0.08,0,0.9,2.71%,0.00%,7.00%,300.00%,TRUE,6.88%,,10.00%,300.00%,0x85B6c5E82886Be58e99c3aEAb8c74f566dc5811A,110,TRUE,110,1,1,"1,776",1,"1,775","10,181",17.44%,1.01
0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,2020/7/22 5:07:07,MKR,TRUE,FALSE,18,35,65,TRUE,0x7deB5e830be29F91E298ba5FF1356BB7f8146998,"3,405",0.03,0,0.9,0.95%,0.00%,7.00%,300.00%,TRUE,4.36%,,10.00%,300.00%,0x85B6c5E82886Be58e99c3aEAb8c74f566dc5811A,110,TRUE,110,1,1,222,145,76,"3,627",6.11%,1.01
0x0F5D2fB29fb7d3CFeE444a200298f468908cC942,2020/7/21 23:18:56,MANA,TRUE,FALSE,18,60,65,TRUE,0x6FCE4A401B6B80ACe52baAefE4421Bd188e76F6f,"53,445,071",0.04,0,0.9,0.11%,0.00%,8.00%,50.00%,TRUE,3.13%,,10.00%,60.00%,0xad6490E24ac89a647D2091348DbBb1139a6057E0,110,TRUE,110,1.01,1.01,"581,089","1,863","579,226","54,026,160",1.08%,1.01
0xE41d2489571d322189246DaFA5ebDe1F4699F498,2020/7/22 7:02:10,ZRX,TRUE,FALSE,18,60,65,TRUE,0x6Fb0855c404E09c47C3fBCA25f08d4E41f9F062f,"593,432",0.05,0.01,0.9,2.23%,0.00%,7.00%,300.00%,TRUE,6.18%,,10.00%,300.00%,0x85B6c5E82886Be58e99c3aEAb8c74f566dc5811A,110,TRUE,110,1,1,"99,231","60,823","38,408","692,663",14.33%,1.01
0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,2020/7/22 7:15:47,SNX,TRUE,FALSE,18,15,40,TRUE,0x328C4c80BC7aCa0834Db37e6600A6c49E12Da4DE,"579,331",0,0.02,0.9,6.61%,3.00%,12.00%,50.00%,FALSE,3.01%,,10.00%,60.00%,0xDE3421A4BF5A45297E2dF46F8C10Dff391c0fE55,110,TRUE,110,1.05,1.05,"183,409",0,"183,409","762,740",24.05%,1.07
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,2020/7/22 7:24:21,WBTC,TRUE,FALSE,8,60,65,TRUE,0xFC4B8ED459e00e5400be803A9BB3954234FD50e3,"2,734",0.05,0,0.9,0.14%,0.00%,8.00%,50.00%,TRUE,3.18%,,10.00%,60.00%,0x21BcEe0eD893EeC65CBf8C663C78c2B6c4e41314,115,TRUE,115,1,1,39,1,39,"2,773",1.42%,1
0x4Fabb145d64652a948d72533023f6E7A623C7C53,2020/7/22 6:55:15,BUSD,TRUE,FALSE,18,0,0,FALSE,0x6Ee0f7BB50a54AB5253dA0667B0Dc2ee526C30a8,"52,920",0,0.07,0.9,8.92%,1.00%,4.00%,50.00%,FALSE,18.70%,,14.00%,60.00%,0x41ACf485DbeA7157498e2035Cf4e3E728cB1Aa71,0,FALSE,0,1.01,1.01,"234,161",0,"234,161","287,081",81.57%,1.02
0xF629cBd94d3791C9250152BD8dfBDF380E2a3B9c,2020/7/22 5:54:55,ENJ,TRUE,FALSE,18,55,65,TRUE,0x712DB54daA836B53Ef1EcBb9c6ba3b9Efb073F40,"1,299,728",0,0,0.9,2.51%,0.00%,7.00%,300.00%,FALSE,0.04,,10.00%,300.00%,0x85B6c5E82886Be58e99c3aEAb8c74f566dc5811A,110,TRUE,110,1,1,"250,045",0,"250,045","1,549,774",16.13%,1
0x408e41876cCCDC0F92210600ef50372656052a38,2020/7/22 6:33:36,REN,TRUE,FALSE,18,50,65,TRUE,0x69948cC03f478B95283F7dbf1CE764d0fc7EC54C,"32,306,611",0,0,0.9,0.00%,0.00%,7.00%,300.00%,FALSE,0,,10.00%,300.00%,0x85B6c5E82886Be58e99c3aEAb8c74f566dc5811A,110,TRUE,110,1,1,"3,090",0,"3,090","32,309,701",0.01%,1
